Carbon County, Utah December Palmer Z-Index
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-2.08,-2.20
199002,-1.29,-1.45
199003,-1.26,-1.27
199004,-1.24,-1.30
199005,-2.01,-2.12
199006,-1.70,-1.72
199007,-1.58,-1.64
199008,-2.20,-2.41
199009,0.81,0.51
199010,-1.18,-1.31
199011,-1.52,-1.52
199012,-1.38,-1.25
199101,-2.08,-2.20
199102,-2.67,-2.83
199103,0.43,0.42
199104,-0.48,-0.54
199105,0.02,-0.09
199106,-0.88,-0.90
199107,-1.83,-1.89
199108,-0.95,-1.16
199109,2.02,1.72
199110,-0.78,-0.91
199111,-0.50,-0.50
199112,-1.90,-1.77
199201,-1.59,-1.71
199202,0.32,0.16
199203,-0.54,-0.55
199204,-3.04,-3.10
199205,2.14,2.03
199206,-1.34,-1.36
199207,1.43,1.37
199208,-0.54,-0.75
199209,-0.84,-1.14
199210,-0.14,-0.27
199211,-0.21,-0.21
199212,0.35,0.48
199301,2.30,2.18
199302,3.27,3.11
199303,2.30,2.29
199304,-0.07,-0.13
199305,1.13,1.02
199306,0.39,0.37
199307,-1.06,-1.12
199308,-0.22,-0.43
199309,-1.86,-2.16
199310,1.72,1.59
199311,0.68,0.68
199312,-1.13,-1.00
199401,-1.84,-1.96
199402,0.36,0.20
199403,-2.64,-2.65
199404,2.65,2.59
199405,-1.29,-1.40
199406,-2.05,-2.07
199407,-3.25,-3.31
199408,-0.97,-1.18
199409,-0.08,-0.38
199410,2.37,2.24
199411,0.90,0.90
199412,-0.21,-0.08
199501,1.29,1.17
199502,-1.08,-1.24
199503,0.99,0.98
199504,2.81,2.75
199505,4.85,4.74
199506,2.61,2.59
199507,2.61,2.55
199508,2.18,1.97
199509,-0.29,-0.59
199510,-1.97,-2.10
199511,-1.84,-1.84
199512,-1.48,-1.35
199601,-0.09,-0.21
199602,0.02,-0.14
199603,0.35,0.34
199604,-1.20,-1.26
199605,0.04,-0.07
199606,-1.16,-1.18
199607,-2.44,-2.50
199608,-3.47,-3.68
199609,1.70,1.40
199610,0.08,-0.05
199611,1.84,1.84
199612,0.05,0.18
199701,3.43,3.31
199702,0.28,0.12
199703,-1.75,-1.76
199704,2.19,2.13
199705,1.13,1.02
199706,1.70,1.68
199707,0.78,0.72
199708,3.67,3.46
199709,5.31,5.01
199710,0.66,0.53
199711,0.51,0.51
199712,-0.56,-0.43
199801,0.34,0.22
199802,3.09,2.93
199803,0.29,0.28
199804,0.68,0.62
199805,0.28,0.17
199806,2.43,2.41
199807,1.26,1.20
199808,-0.28,-0.49
199809,0.38,0.08
199810,0.73,0.60
199811,0.90,0.90
199812,-1.51,-1.38
199901,-0.08,-0.20
199902,-0.83,-0.99
199903,-2.93,-2.94
199904,4.03,3.97
199905,0.59,0.48
199906,0.92,0.90
199907,2.56,2.50
199908,3.62,3.41
199909,0.01,-0.29
199910,-2.76,-2.89
199911,-2.93,-2.93
199912,-1.35,-1.22
200001,0.11,-0.01
200002,1.93,1.77
200003,0.12,0.11
200004,-2.32,-2.38
200005,-0.20,-0.31
200006,-0.49,-0.51
200007,-1.94,-2.00
200008,-0.65,-0.86
200009,-0.42,-0.72
200010,3.78,3.65
200011,-0.33,-0.33
200012,-0.34,-0.21
200101,0.44,0.32
200102,1.65,1.49
200103,0.67,0.66
200104,0.76,0.70
200105,-0.58,-0.69
200106,-0.96,-0.98
200107,-0.89,-0.95
200108,-0.47,-0.68
200109,-2.35,-2.65
200110,-2.13,-2.26
200111,0.17,0.17
200112,-0.35,-0.22
200201,-2.24,-2.36
200202,-2.64,-2.80
200203,-1.88,-1.89
200204,-2.61,-2.67
200205,-3.57,-3.68
200206,-4.10,-4.12
200207,-3.91,-3.97
200208,-3.08,-3.29
200209,5.04,4.74
200210,0.27,0.14
200211,0.62,0.62
200212,-0.37,-0.24
200301,-1.56,-1.68
200302,-0.01,-0.17
200303,0.16,0.15
200304,-0.63,-0.69
200305,-0.39,-0.50
200306,-0.97,-0.99
200307,-2.05,-2.11
200308,-0.33,-0.54
200309,-1.90,-2.20
200310,-2.48,-2.61
200311,0.19,0.19
200312,1.15,1.28
200401,-0.71,-0.83
200402,1.68,1.52
200403,-2.97,-2.98
200404,0.72,0.66
200405,-1.76,-1.87
200406,-0.54,-0.56
200407,-1.60,-1.66
200408,-0.40,-0.61
200409,0.06,-0.24
200410,7.29,7.16
200411,3.14,3.14
200412,1.85,1.98
200501,5.58,5.46
200502,2.47,2.31
200503,0.69,0.68
200504,0.00,-0.06
200505,0.20,0.09
200506,2.83,2.81
200507,0.06,0.00
200508,1.32,1.11
200509,0.30,0.00
200510,0.38,0.25
200511,-0.99,-0.99
200512,-0.88,-0.75
200601,0.26,0.14
200602,-1.82,-1.98
200603,2.91,2.90
200604,-0.69,-0.75
200605,-1.59,-1.70
200606,-1.20,-1.22
200607,-0.74,-0.80
200608,-0.31,-0.52
200609,0.47,0.17
200610,3.99,3.86
200611,-0.29,-0.29
200612,-0.67,-0.54
200701,-1.15,-1.27
200702,-0.82,-0.98
200703,-2.37,-2.38
200704,-1.23,-1.29
200705,-1.35,-1.46
200706,-2.83,-2.85
200707,-2.60,-2.66
200708,-0.64,-0.85
200709,0.75,0.45
200710,-0.76,-0.89
200711,-2.65,-2.65
200712,2.04,2.17
200801,1.22,1.10
200802,1.85,1.69
200803,-0.57,-0.58
200804,-0.63,-0.69
200805,1.76,1.65
200806,0.66,0.64
200807,-0.85,-0.91
200808,-1.18,-1.39
200809,-0.73,-1.03
200810,-0.43,-0.56
200811,-1.34,-1.34
200812,0.76,0.89
200901,-0.80,-0.92
200902,-0.88,-1.04
200903,-2.00,-2.01
200904,0.76,0.70
200905,1.24,1.13
200906,2.25,2.23
200907,-0.81,-0.87
200908,-1.87,-2.08
200909,-0.79,-1.09
200910,-0.79,-0.92
200911,-2.44,-2.44
200912,0.49,0.62
201001,0.65,0.53
201002,-1.33,-1.49
201003,0.00,-0.01
201004,-0.42,-0.48
201005,0.02,-0.09
201006,-0.65,-0.67
201007,-0.66,-0.72
201008,-0.13,-0.34
201009,-2.70,-3.00
201010,3.16,3.03
201011,0.03,0.03
201012,5.63,5.76
201101,0.13,0.01
201102,1.81,1.65
201103,0.61,0.60
201104,1.20,1.14
201105,4.50,4.39
201106,1.31,1.29
201107,4.42,4.36
201108,1.01,0.80
201109,-0.39,-0.69
201110,1.34,1.21
201111,-0.56,-0.56
201112,-1.23,-1.10
201201,-0.87,-0.99
201202,-0.74,-0.90
201203,-2.83,-2.84
201204,-2.41,-2.47
201205,-3.71,-3.82
201206,-4.10,-4.12
201207,-0.42,-0.48
201208,-2.15,-2.36
201209,-0.23,-0.53
201210,-1.52,-1.65
201211,-2.45,-2.45
201212,1.03,1.16
201301,-1.02,-1.14
201302,-2.38,-2.54
201303,-1.56,-1.57
201304,1.41,1.35
201305,-0.36,-0.47
201306,-2.63,-2.65
201307,-0.97,-1.03
201308,0.40,0.19
201309,4.88,4.58
201310,0.54,0.41
201311,-0.59,-0.59
201312,-1.28,-1.15
201401,-1.82,-1.94
201402,-0.72,-0.88
201403,-1.92,-1.93
201404,-0.77,-0.83
201405,-1.19,-1.30
201406,-2.85,-2.87
201407,-1.93,-1.99
201408,3.60,3.39
201409,3.79,3.49
201410,-2.45,-2.58
201411,-0.72,-0.72
201412,-0.63,-0.50
201501,-1.10,-1.22
201502,-2.91,-3.07
201503,-2.91,-2.92
201504,-1.45,-1.51
201505,3.14,3.03
201506,-0.82,-0.84
201507,-1.00,-1.06
201508,1.49,1.28
201509,-1.74,-2.04
201510,0.98,0.85
201511,0.42,0.42
201512,0.11,0.24
201601,-0.55,-0.67
201602,-1.68,-1.84
201603,-1.72,-1.73
201604,1.76,1.70
201605,-0.08,-0.19
201606,-1.78,-1.80
201607,-2.30,-2.36
201608,-2.04,-2.25
201609,5.59,5.29
201610,-0.76,-0.89
201611,-1.44,-1.44
201612,1.18,1.31
201701,4.70,4.58
201702,1.34,1.18
201703,0.70,0.69
201704,-0.97,-1.03
201705,-1.07,-1.18
201706,-1.36,-1.38
201707,-0.07,-0.13
201708,-0.99,-1.20
201709,0.47,0.17
201710,-2.25,-2.38
201711,-2.46,-2.46
201712,-2.21,-2.08
201801,-1.85,-1.97
201802,-2.67,-2.83
201803,-2.52,-2.53
201804,-1.52,-1.58
201805,-2.64,-2.75
201806,-4.68,-4.70
201807,-3.04,-3.10
201808,-0.89,-1.10
201809,-3.07,-3.37
201810,5.20,5.07
201811,0.58,0.58
201812,-0.45,-0.32
201901,1.84,1.72
201902,3.46,3.30
201903,3.60,3.59
201904,-0.26,-0.32
201905,5.52,5.41
201906,0.57,0.55
201907,-0.10,-0.16
201908,-2.44,-2.65
201909,-1.64,-1.94
201910,-1.53,-1.66
201911,1.30,1.30
201912,0.73,0.86
202001,-0.85,-0.97
202002,-1.05,-1.21
202003,1.13,1.12
202004,-1.73,-1.79
202005,-2.04,-2.15
202006,-0.48,-0.50
202007,-2.57,-2.63
202008,-4.01,-4.22
202009,-2.62,-2.92
202010,-3.03,-3.16
202011,-0.90,-0.90
202012,-1.03,-0.90
202101,-1.71,-1.83
202102,-1.47,-1.63
202103,-1.15,-1.16
202104,-1.07,-1.13
202105,-2.70,-2.81
202106,-3.25,-3.27
202107,0.03,-0.03
202108,2.12,1.91
202109,-0.83,-1.13
202110,2.00,1.87
202111,-2.01,-2.01
202112,1.92,2.05
202201,-1.69,-1.81
202202,-1.46,-1.62
202203,-1.16,-1.17
202204,-1.27,-1.33
202205,-1.86,-1.97
202206,-1.70,-1.72
202207,-2.36,-2.42
202208,-0.44,-0.65
202209,1.52,1.22
202210,-1.39,-1.52
202211,-1.01,-1.01
202212,1.16,1.29
202301,3.00,2.88
202302,-0.06,-0.22
202303,3.96,3.95
202304,-1.41,-1.47
202305,-0.20,-0.31
202306,0.08,0.06
202307,-0.81,-0.87
202308,3.65,3.44
202309,-1.07,-1.37
202310,-1.65,-1.78
202311,-1.43,-1.43
202312,-1.90,-1.77
202401,-0.85,-0.97
202402,1.32,1.16
202403,-0.26,-0.27
