Kane County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,39.1,0.9
199002,39.2,1.0
199003,39.1,0.9
199004,39.0,0.8
199005,38.9,0.7
199006,39.1,0.9
199007,39.1,0.9
199008,39.2,1.0
199009,39.5,1.3
199010,39.7,1.5
199011,39.6,1.4
199012,39.0,0.8
199101,38.9,0.7
199102,39.2,1.0
199103,38.8,0.6
199104,38.2,0.0
199105,37.9,-0.3
199106,37.6,-0.6
199107,37.6,-0.6
199108,37.7,-0.5
199109,37.5,-0.7
199110,37.7,-0.5
199111,37.8,-0.4
199112,38.5,0.3
199201,38.4,0.2
199202,38.6,0.4
199203,39.1,0.9
199204,39.8,1.6
199205,40.5,2.3
199206,40.6,2.4
199207,40.3,2.1
199208,40.3,2.1
199209,40.2,2.0
199210,40.3,2.1
199211,40.1,1.9
199212,39.7,1.5
199301,40.2,2.0
199302,40.0,1.8
199303,39.9,1.7
199304,39.5,1.3
199305,39.3,1.1
199306,39.2,1.0
199307,39.2,1.0
199308,39.1,0.9
199309,38.9,0.7
199310,38.6,0.4
199311,38.6,0.4
199312,38.8,0.6
199401,38.6,0.4
199402,38.2,0.0
199403,38.2,0.0
199404,38.2,0.0
199405,38.2,0.0
199406,38.8,0.6
199407,39.1,0.9
199408,39.4,1.2
199409,39.7,1.5
199410,39.6,1.4
199411,39.5,1.3
199412,39.8,1.6
199501,40.1,1.9
199502,40.7,2.5
199503,40.6,2.4
199504,40.4,2.2
199505,40.1,1.9
199506,39.5,1.3
199507,39.1,0.9
199508,39.0,0.8
199509,39.0,0.8
199510,39.0,0.8
199511,39.7,1.5
199512,39.7,1.5
199601,39.5,1.3
199602,39.3,1.1
199603,39.2,1.0
199604,39.3,1.1
199605,39.7,1.5
199606,40.2,2.0
199607,40.7,2.5
199608,40.7,2.5
199609,40.5,2.3
199610,40.4,2.2
199611,40.3,2.1
199612,40.3,2.1
199701,40.5,2.3
199702,40.1,1.9
199703,40.1,1.9
199704,39.9,1.7
199705,40.0,1.8
199706,39.9,1.7
199707,39.4,1.2
199708,39.3,1.1
199709,39.7,1.5
199710,39.7,1.5
199711,39.7,1.5
199712,39.4,1.2
199801,39.4,1.2
199802,39.5,1.3
199803,39.5,1.3
199804,39.3,1.1
199805,38.9,0.7
199806,38.4,0.2
199807,38.7,0.5
199808,38.8,0.6
199809,38.7,0.5
199810,38.7,0.5
199811,38.7,0.5
199812,38.7,0.5
199901,38.8,0.6
199902,38.8,0.6
199903,39.0,0.8
199904,38.9,0.7
199905,39.0,0.8
199906,39.3,1.1
199907,39.3,1.1
199908,39.1,0.9
199909,38.9,0.7
199910,38.9,0.7
199911,38.9,0.7
199912,38.8,0.6
200001,38.9,0.7
200002,39.1,0.9
200003,39.0,0.8
200004,39.6,1.4
200005,40.1,1.9
200006,40.5,2.3
200007,40.4,2.2
200008,40.7,2.5
200009,40.8,2.6
200010,41.1,2.9
200011,40.6,2.4
200012,40.9,2.7
200101,40.6,2.4
200102,40.4,2.2
200103,40.6,2.4
200104,40.4,2.2
200105,40.3,2.1
200106,40.0,1.8
200107,40.0,1.8
200108,39.8,1.6
200109,39.9,1.7
200110,39.9,1.7
200111,40.5,2.3
200112,40.1,1.9
200201,40.0,1.8
200202,39.7,1.5
200203,39.2,1.0
200204,39.4,1.2
200205,39.1,0.9
200206,39.2,1.0
200207,39.6,1.4
200208,39.6,1.4
200209,39.5,1.3
200210,39.3,1.1
200211,39.1,0.9
200212,39.3,1.1
200301,39.8,1.6
200302,40.2,2.0
200303,40.6,2.4
200304,40.2,2.0
200305,40.4,2.2
200306,40.3,2.1
200307,40.3,2.1
200308,40.5,2.3
200309,40.5,2.3
200310,40.9,2.7
200311,40.9,2.7
200312,40.9,2.7
200401,40.3,2.1
200402,40.0,1.8
200403,40.3,2.1
200404,40.6,2.4
200405,40.5,2.3
200406,40.4,2.2
200407,40.1,1.9
200408,39.8,1.6
200409,39.5,1.3
200410,39.2,1.0
200411,39.3,1.1
200412,39.4,1.2
200501,40.1,1.9
200502,40.7,2.5
200503,40.3,2.1
200504,40.1,1.9
200505,40.0,1.8
200506,39.7,1.5
200507,39.8,1.6
200508,39.8,1.6
200509,39.8,1.6
200510,39.9,1.7
200511,39.9,1.7
200512,39.7,1.5
200601,39.2,1.0
200602,38.8,0.6
200603,38.6,0.4
200604,38.8,0.6
200605,39.0,0.8
200606,39.5,1.3
200607,39.7,1.5
200608,39.8,1.6
200609,39.7,1.5
200610,39.6,1.4
200611,39.5,1.3
200612,39.5,1.3
200701,39.1,0.9
200702,39.3,1.1
200703,39.7,1.5
200704,39.8,1.6
200705,39.6,1.4
200706,39.5,1.3
200707,39.5,1.3
200708,39.6,1.4
200709,40.0,1.8
200710,39.9,1.7
200711,40.0,1.8
200712,40.0,1.8
200801,40.1,1.9
200802,39.9,1.7
200803,39.6,1.4
200804,39.2,1.0
200805,38.8,0.6
200806,38.6,0.4
200807,38.5,0.3
200808,38.4,0.2
200809,38.3,0.1
200810,38.4,0.2
200811,38.5,0.3
200812,38.5,0.3
200901,38.9,0.7
200902,39.0,0.8
200903,39.0,0.8
200904,39.2,1.0
200905,39.8,1.6
200906,39.8,1.6
200907,39.7,1.5
200908,39.4,1.2
200909,39.6,1.4
200910,39.4,1.2
200911,39.2,1.0
200912,38.9,0.7
201001,38.7,0.5
201002,38.7,0.5
201003,38.7,0.5
201004,38.7,0.5
201005,37.9,-0.3
201006,38.1,-0.1
201007,38.1,-0.1
201008,38.2,0.0
201009,38.0,-0.2
201010,38.5,0.3
201011,38.3,0.1
201012,39.3,1.1
201101,39.2,1.0
201102,38.9,0.7
201103,39.0,0.8
201104,39.0,0.8
201105,39.1,0.9
201106,38.9,0.7
201107,38.8,0.6
201108,39.0,0.8
201109,39.1,0.9
201110,38.9,0.7
201111,38.9,0.7
201112,38.3,0.1
201201,38.6,0.4
201202,38.8,0.6
201203,38.8,0.6
201204,39.1,0.9
201205,39.6,1.4
201206,40.0,1.8
201207,40.1,1.9
201208,40.2,2.0
201209,40.3,2.1
201210,40.4,2.2
201211,40.6,2.4
201212,40.7,2.5
201301,40.1,1.9
201302,39.9,1.7
201303,40.0,1.8
201304,39.9,1.7
201305,39.7,1.5
201306,39.7,1.5
201307,39.8,1.6
201308,39.7,1.5
201309,39.7,1.5
201310,39.3,1.1
201311,39.3,1.1
201312,38.9,0.7
201401,39.6,1.4
201402,40.1,1.9
201403,40.0,1.8
201404,40.0,1.8
201405,39.9,1.7
201406,39.7,1.5
201407,39.8,1.6
201408,39.6,1.4
201409,39.7,1.5
201410,40.2,2.0
201411,40.1,1.9
201412,40.8,2.6
201501,41.0,2.8
201502,41.2,3.0
201503,41.4,3.2
201504,41.3,3.1
201505,41.3,3.1
201506,41.5,3.3
201507,41.1,2.9
201508,41.3,3.1
201509,41.3,3.1
201510,41.5,3.3
201511,41.3,3.1
201512,40.8,2.6
201601,40.5,2.3
201602,40.2,2.0
201603,40.1,1.9
201604,40.2,2.0
201605,40.3,2.1
201606,40.4,2.2
201607,40.6,2.4
201608,40.5,2.3
201609,40.2,2.0
201610,40.1,1.9
201611,40.6,2.4
201612,40.8,2.6
201701,41.0,2.8
201702,41.5,3.3
201703,41.6,3.4
201704,41.5,3.3
201705,41.5,3.3
201706,41.4,3.2
201707,41.5,3.3
201708,41.7,3.5
201709,41.7,3.5
201710,41.2,3.0
201711,41.3,3.1
201712,41.3,3.1
201801,41.4,3.2
201802,40.7,2.5
201803,40.4,2.2
201804,40.6,2.4
201805,40.8,2.6
201806,40.8,2.6
201807,40.9,2.7
201808,41.0,2.8
201809,41.3,3.1
201810,41.5,3.3
201811,41.0,2.8
201812,41.0,2.8
201901,40.8,2.6
201902,40.4,2.2
201903,40.6,2.4
201904,40.6,2.4
201905,40.1,1.9
201906,39.7,1.5
201907,39.3,1.1
201908,39.3,1.1
201909,39.2,1.0
201910,38.5,0.3
201911,38.7,0.5
201912,38.8,0.6
202001,38.7,0.5
202002,39.1,0.9
202003,39.1,0.9
202004,39.0,0.8
202005,39.6,1.4
202006,39.8,1.6
202007,39.8,1.6
202008,40.0,1.8
202009,39.8,1.6
202010,40.5,2.3
202011,40.5,2.3
202012,40.1,1.9
202101,40.0,1.8
202102,40.1,1.9
202103,39.7,1.5
202104,39.7,1.5
202105,39.5,1.3
202106,39.9,1.7
202107,40.3,2.1
202108,40.1,1.9
202109,40.3,2.1
202110,40.1,1.9
202111,40.4,2.2
202112,40.8,2.6
202201,40.8,2.6
202202,40.5,2.3
202203,40.5,2.3
202204,40.4,2.2
202205,40.4,2.2
202206,40.2,2.0
202207,40.1,1.9
202208,40.2,2.0
202209,40.4,2.2
202210,40.5,2.3
202211,39.8,1.6
202212,39.7,1.5
202301,39.8,1.6
202302,39.8,1.6
202303,39.6,1.4
202304,39.4,1.2
202305,39.5,1.3
202306,39.0,0.8
202307,38.9,0.7
202308,38.7,0.5
202309,38.3,0.1
202310,38.3,0.1
202311,38.8,0.6
202312,39.0,0.8
202401,39.1,0.9
202402,39.7,1.5
202403,40.2,2.0
