Morgan County, Utah December Palmer Modified Drought Index (PMDI)
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,-3.22,-3.50
199002,-3.48,-3.85
199003,-3.67,-4.04
199004,-3.64,-3.90
199005,-3.13,-3.42
199006,-2.61,-2.77
199007,-2.12,-2.30
199008,-2.48,-2.63
199009,-2.46,-2.60
199010,-2.49,-2.70
199011,-2.41,-2.57
199012,-2.58,-2.65
199101,-2.77,-3.05
199102,-2.83,-3.20
199103,-2.28,-2.65
199104,-1.03,-1.29
199105,0.79,0.50
199106,1.12,0.96
199107,1.00,0.82
199108,0.93,0.78
199109,1.47,1.33
199110,1.61,1.40
199111,1.93,1.77
199112,0.14,0.07
199201,-1.21,-1.49
199202,-1.14,-1.51
199203,-2.12,-2.49
199204,-2.94,-3.20
199205,-3.28,-3.57
199206,-3.30,-3.46
199207,-2.69,-2.87
199208,-3.06,-3.21
199209,-3.09,-3.23
199210,-2.36,-2.57
199211,-1.41,-1.57
199212,-0.61,-0.68
199301,1.36,1.08
199302,1.47,1.10
199303,0.92,0.55
199304,1.04,0.78
199305,1.78,1.49
199306,2.55,2.39
199307,3.81,3.63
199308,4.28,4.13
199309,3.39,3.25
199310,3.93,3.72
199311,3.12,2.96
199312,1.58,1.51
199401,0.69,0.41
199402,1.78,1.41
199403,1.06,0.69
199404,0.83,0.57
199405,-0.26,-0.55
199406,-1.53,-1.69
199407,-2.48,-2.66
199408,-2.81,-2.96
199409,-2.90,-3.04
199410,-0.79,-1.00
199411,1.69,1.53
199412,1.44,1.37
199501,2.01,1.73
199502,1.12,0.75
199503,2.32,1.95
199504,1.73,1.47
199505,3.11,2.82
199506,3.54,3.38
199507,3.95,3.77
199508,3.49,3.34
199509,2.91,2.77
199510,1.69,1.48
199511,0.35,0.19
199512,0.00,-0.07
199601,2.65,2.37
199602,2.53,2.16
199603,2.41,2.04
199604,2.27,2.01
199605,2.11,1.82
199606,0.52,0.36
199607,-0.41,-0.59
199608,-1.57,-1.72
199609,-1.05,-1.19
199610,-0.51,-0.72
199611,0.48,0.32
199612,1.87,1.80
199701,2.89,2.61
199702,1.97,1.60
199703,0.03,-0.34
199704,0.56,0.30
199705,0.28,-0.01
199706,0.95,0.79
199707,1.59,1.41
199708,2.28,2.13
199709,2.79,2.65
199710,2.64,2.43
199711,1.47,1.31
199712,0.20,0.13
199801,2.09,1.81
199802,2.88,2.51
199803,2.78,2.41
199804,2.10,1.84
199805,2.63,2.34
199806,4.15,3.99
199807,4.76,4.58
199808,4.68,4.53
199809,4.31,4.17
199810,4.08,3.87
199811,3.32,3.16
199812,1.77,1.70
199901,2.43,2.15
199902,2.69,2.32
199903,0.65,0.28
199904,2.43,2.17
199905,3.11,2.82
199906,3.00,2.84
199907,3.01,2.83
199908,2.56,2.41
199909,1.68,1.54
199910,-0.63,-0.84
199911,-2.22,-2.38
199912,-2.70,-2.77
200001,-2.47,-2.75
200002,-1.04,-1.41
200003,-1.30,-1.67
200004,-2.44,-2.70
200005,-2.42,-2.71
200006,-2.82,-2.98
200007,-3.39,-3.57
200008,-1.89,-2.04
200009,-1.38,-1.52
200010,-0.65,-0.86
200011,-1.01,-1.17
200012,-1.34,-1.41
200101,-2.40,-2.68
200102,-1.74,-2.11
200103,-2.51,-2.88
200104,-1.63,-1.89
200105,-2.71,-3.00
200106,-2.94,-3.10
200107,-2.97,-3.15
200108,-3.14,-3.29
200109,-3.52,-3.66
200110,-3.44,-3.65
200111,-2.16,-2.32
200112,-1.61,-1.68
200201,-1.83,-2.11
200202,-2.73,-3.10
200203,-2.00,-2.37
200204,-1.93,-2.19
200205,-2.18,-2.47
200206,-2.59,-2.75
200207,-3.14,-3.32
200208,-3.67,-3.82
200209,-2.26,-2.40
200210,-2.08,-2.29
200211,-2.44,-2.60
200212,-2.87,-2.94
200301,-3.34,-3.62
200302,-3.21,-3.58
200303,-3.16,-3.53
200304,-3.21,-3.47
200305,-2.94,-3.23
200306,-2.47,-2.63
200307,-2.63,-2.81
200308,-2.78,-2.93
200309,-2.76,-2.90
200310,-3.29,-3.50
200311,-2.16,-2.32
200312,-0.21,-0.28
200401,-0.58,-0.86
200402,0.19,-0.18
200403,-1.79,-2.16
200404,-2.14,-2.40
200405,-2.13,-2.42
200406,-1.76,-1.92
200407,-1.36,-1.54
200408,-0.89,-1.04
200409,-0.82,-0.96
200410,1.95,1.74
200411,2.08,1.92
200412,2.19,2.12
200501,2.46,2.18
200502,1.90,1.53
200503,2.28,1.91
200504,2.12,1.86
200505,2.76,2.47
200506,3.13,2.97
200507,2.98,2.80
200508,2.28,2.13
200509,1.17,1.03
200510,0.30,0.09
200511,-0.13,-0.29
200512,0.75,0.68
200601,2.12,1.84
200602,1.17,0.80
200603,2.30,1.93
200604,1.96,1.70
200605,0.68,0.39
200606,-0.12,-0.28
200607,-1.20,-1.38
200608,-0.90,-1.05
200609,0.88,0.74
200610,1.21,1.00
200611,1.29,1.13
200612,0.13,0.06
200701,-0.82,-1.10
200702,-0.54,-0.91
200703,-1.24,-1.61
200704,-1.77,-2.03
200705,-2.11,-2.40
200706,-2.12,-2.28
200707,-2.37,-2.55
200708,-2.61,-2.76
200709,-1.63,-1.77
200710,-0.97,-1.18
200711,-2.46,-2.62
200712,-1.41,-1.48
200801,0.32,0.04
200802,1.20,0.83
200803,0.37,0.00
200804,-0.30,-0.56
200805,-0.21,-0.50
200806,-0.43,-0.59
200807,-1.04,-1.22
200808,-1.42,-1.57
200809,-1.30,-1.44
200810,-1.62,-1.83
200811,-1.96,-2.12
200812,-1.89,-1.96
200901,-1.04,-1.32
200902,-0.76,-1.13
200903,-0.29,-0.66
200904,0.77,0.51
200905,0.35,0.06
200906,1.62,1.46
200907,1.80,1.62
200908,1.46,1.31
200909,0.92,0.78
200910,1.45,1.24
200911,-0.84,-1.00
200912,-0.97,-1.04
201001,-1.34,-1.62
201002,-1.80,-2.17
201003,-2.17,-2.54
201004,-1.04,-1.30
201005,1.27,0.98
201006,1.39,1.23
201007,1.35,1.17
201008,1.34,1.19
201009,-0.33,-0.47
201010,1.22,1.01
201011,1.67,1.51
201012,3.17,3.10
201101,2.57,2.29
201102,2.55,2.18
201103,2.96,2.59
201104,3.96,3.70
201105,5.07,4.78
201106,4.32,4.16
201107,4.21,4.03
201108,4.13,3.98
201109,3.18,3.04
201110,2.39,2.18
201111,2.11,1.95
201112,-0.22,-0.29
201201,-0.71,-0.99
201202,-1.68,-2.05
201203,-2.48,-2.85
201204,-2.75,-3.01
201205,-2.86,-3.15
201206,-3.35,-3.51
201207,-3.69,-3.87
201208,-4.20,-4.35
201209,-4.04,-4.18
201210,-3.20,-3.41
201211,-3.68,-3.84
201212,-3.21,-3.28
201301,-3.32,-3.60
201302,-3.66,-4.03
201303,-4.20,-4.57
201304,-3.67,-3.93
201305,-3.56,-3.85
201306,-3.95,-4.11
201307,-4.03,-4.21
201308,-4.25,-4.40
201309,-2.77,-2.91
201310,-2.71,-2.92
201311,-3.65,-3.81
201312,-3.57,-3.64
201401,-3.77,-4.05
201402,-1.78,-2.15
201403,-1.97,-2.34
201404,-2.38,-2.64
201405,-2.82,-3.11
201406,-2.64,-2.80
201407,-1.82,-2.00
201408,0.70,0.55
201409,2.13,1.99
201410,-0.16,-0.37
201411,-0.89,-1.05
201412,-0.95,-1.02
201501,-1.37,-1.65
201502,-1.96,-2.33
201503,-2.94,-3.31
201504,-3.02,-3.28
201505,0.24,-0.05
201506,-0.50,-0.66
201507,0.32,0.14
201508,1.16,1.01
201509,1.29,1.15
201510,-0.27,-0.48
201511,-0.91,-1.07
201512,-0.63,-0.70
201601,0.55,0.27
201602,-0.66,-1.03
201603,-0.70,-1.07
201604,-0.76,-1.02
201605,-0.44,-0.73
201606,-0.94,-1.10
201607,-1.64,-1.82
201608,-2.20,-2.35
201609,0.02,-0.12
201610,-0.04,-0.25
201611,-0.88,-1.04
201612,0.26,0.19
201701,2.20,1.92
201702,3.01,2.64
201703,2.10,1.73
201704,2.56,2.30
201705,1.18,0.89
201706,-0.09,-0.25
201707,-1.47,-1.65
201708,-2.05,-2.20
201709,-0.13,-0.27
201710,-1.61,-1.82
201711,-2.03,-2.19
201712,-2.40,-2.47
201801,-2.82,-3.10
201802,-3.06,-3.43
201803,-2.60,-2.97
201804,-2.81,-3.07
201805,-2.82,-3.11
201806,-3.19,-3.35
201807,-3.93,-4.11
201808,-4.22,-4.37
201809,-4.71,-4.85
201810,-2.68,-2.89
201811,-1.41,-1.57
201812,-1.32,-1.39
201901,0.00,-0.28
201902,1.61,1.24
201903,2.76,2.39
201904,2.80,2.54
201905,3.47,3.18
201906,2.42,2.26
201907,1.44,1.26
201908,-0.05,-0.20
201909,0.94,0.80
201910,0.45,0.24
201911,-0.58,-0.74
201912,-0.52,-0.59
202001,-0.13,-0.41
202002,-0.58,-0.95
202003,-0.80,-1.17
202004,-1.54,-1.80
202005,-2.14,-2.43
202006,-1.03,-1.19
202007,-1.87,-2.05
202008,-2.62,-2.77
202009,-3.11,-3.25
202010,-3.59,-3.80
202011,-3.76,-3.92
202012,-4.33,-4.40
202101,-4.78,-5.06
202102,-4.35,-4.72
202103,-4.61,-4.98
202104,-4.60,-4.86
202105,-4.66,-4.95
202106,-5.01,-5.17
202107,-5.32,-5.50
202108,-3.04,-3.19
202109,-3.77,-3.91
202110,-1.16,-1.37
202111,-2.24,-2.40
202112,-0.90,-0.97
202201,-1.08,-1.36
202202,-2.59,-2.96
202203,-3.13,-3.50
202204,-2.78,-3.04
202205,-1.70,-1.99
202206,-2.05,-2.21
202207,-2.45,-2.63
202208,-1.87,-2.02
202209,-1.87,-2.01
202210,-2.31,-2.52
202211,-1.22,-1.38
202212,0.01,-0.06
202301,2.01,1.73
202302,1.88,1.51
202303,3.61,3.24
202304,3.36,3.10
202305,1.67,1.38
202306,0.98,0.82
202307,-0.32,-0.50
202308,0.26,0.11
202309,0.60,0.46
202310,0.50,0.29
202311,-0.63,-0.79
202312,-0.97,-1.04
202401,-0.54,-0.82
202402,1.23,0.86
202403,1.61,1.24
