Wayne County, Utah January-December Heating Degree Days
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -9999
Date,Value,Anomaly
199001,5496,-737
199002,5379,-853
199003,5437,-795
199004,5500,-729
199005,5563,-665
199006,5526,-702
199007,5526,-702
199008,5521,-707
199009,5490,-736
199010,5485,-740
199011,5569,-659
199012,5821,-406
199101,6000,-233
199102,5925,-307
199103,6137,-95
199104,6345,116
199105,6396,168
199106,6437,209
199107,6437,209
199108,6437,209
199109,6473,247
199110,6399,174
199111,6450,222
199112,6356,129
199201,6367,134
199202,6402,170
199203,6224,-8
199204,5944,-285
199205,5820,-408
199206,5818,-410
199207,5818,-410
199208,5818,-410
199209,5792,-434
199210,5755,-470
199211,5845,-383
199212,5880,-347
199301,5660,-573
199302,5746,-486
199303,5752,-480
199304,5951,-278
199305,5995,-233
199306,6010,-218
199307,6010,-218
199308,6010,-218
199309,6044,-182
199310,6215,-10
199311,6198,-30
199312,6070,-157
199401,6015,-218
199402,6013,-219
199403,5941,-291
199404,5888,-341
199405,5867,-361
199406,5806,-422
199407,5806,-422
199408,5806,-422
199409,5775,-451
199410,5757,-468
199411,5759,-469
199412,5706,-521
199501,5729,-504
199502,5456,-776
199503,5545,-687
199504,5644,-585
199505,5810,-418
199506,5910,-318
199507,5910,-318
199508,5910,-318
199509,5909,-317
199510,5861,-364
199511,5591,-637
199512,5494,-733
199601,5466,-767
199602,5567,-665
199603,5559,-673
199604,5481,-748
199605,5270,-958
199606,5178,-1050
199607,5178,-1050
199608,5178,-1050
199609,5255,-971
199610,5315,-910
199611,5447,-781
199612,5510,-717
199701,5596,-637
199702,5779,-453
199703,5689,-543
199704,5819,-410
199705,5836,-392
199706,5854,-374
199707,5854,-374
199708,5854,-374
199709,5813,-413
199710,5785,-440
199711,5782,-446
199712,5872,-355
199801,5736,-497
199802,5710,-522
199803,5852,-380
199804,5833,-396
199805,5921,-307
199806,5978,-250
199807,5978,-250
199808,5978,-250
199809,5950,-276
199810,5981,-244
199811,5966,-262
199812,5962,-265
199901,5919,-314
199902,5801,-431
199903,5638,-594
199904,5690,-539
199905,5729,-499
199906,5689,-539
199907,5689,-539
199908,5698,-530
199909,5749,-477
199910,5603,-622
199911,5465,-763
199912,5397,-830
200001,5401,-832
200002,5368,-864
200003,5517,-715
200004,5211,-1018
200005,5046,-1182
200006,5015,-1213
200007,5015,-1213
200008,5006,-1222
200009,4953,-1273
200010,5045,-1180
200011,5410,-818
200012,5373,-854
200101,5571,-662
200102,5688,-544
200103,5630,-602
200104,5745,-484
200105,5773,-455
200106,5775,-453
200107,5775,-453
200108,5775,-453
200109,5742,-484
200110,5647,-578
200111,5356,-872
200112,5494,-733
200201,5491,-742
200202,5549,-683
200203,5680,-552
200204,5578,-651
200205,5615,-613
200206,5604,-624
200207,5604,-624
200208,5604,-624
200209,5669,-557
200210,5837,-388
200211,5950,-278
200212,5850,-377
200301,5606,-627
200302,5543,-689
200303,5440,-792
200304,5588,-641
200305,5568,-660
200306,5586,-642
200307,5586,-642
200308,5586,-642
200309,5553,-673
200310,5303,-922
200311,5309,-919
200312,5286,-941
200401,5566,-667
200402,5664,-568
200403,5482,-750
200404,5449,-780
200405,5446,-782
200406,5450,-778
200407,5450,-778
200408,5450,-778
200409,5489,-737
200410,5682,-543
200411,5690,-538
200412,5711,-516
200501,5447,-786
200502,5280,-952
200503,5496,-736
200504,5521,-708
200505,5551,-677
200506,5595,-633
200507,5595,-633
200508,5601,-627
200509,5580,-646
200510,5534,-691
200511,5407,-821
200512,5402,-825
200601,5528,-705
200602,5582,-650
200603,5662,-570
200604,5599,-630
200605,5544,-684
200606,5479,-749
200607,5479,-749
200608,5473,-755
200609,5552,-674
200610,5654,-571
200611,5683,-545
200612,5736,-491
200701,5870,-363
200702,5782,-450
200703,5598,-634
200704,5612,-617
200705,5651,-577
200706,5656,-572
200707,5656,-572
200708,5656,-572
200709,5568,-658
200710,5528,-697
200711,5441,-787
200712,5530,-697
200801,5605,-628
200802,5727,-505
200803,5850,-382
200804,5975,-254
200805,6095,-133
200806,6111,-117
200807,6111,-117
200808,6111,-117
200809,6112,-114
200810,6050,-175
200811,6088,-140
200812,6023,-204
200901,5822,-411
200902,5763,-469
200903,5706,-526
200904,5653,-576
200905,5485,-743
200906,5520,-708
200907,5520,-708
200908,5520,-708
200909,5501,-725
200910,5626,-599
200911,5662,-566
200912,5847,-380
201001,5979,-254
201002,6148,-84
201003,6250,18
201004,6240,11
201005,6458,230
201006,6414,186
201007,6414,186
201008,6414,186
201009,6404,178
201010,6270,45
201011,6387,159
201012,5991,-236
201101,5996,-237
201102,5969,-263
201103,5877,-355
201104,5920,-309
201105,5910,-318
201106,5923,-305
201107,5923,-305
201108,5923,-305
201109,5938,-288
201110,5945,-280
201111,5910,-318
201112,6130,-97
201201,5942,-291
201202,5855,-377
201203,5772,-460
201204,5608,-621
201205,5414,-814
201206,5387,-841
201207,5387,-841
201208,5387,-841
201209,5376,-850
201210,5343,-882
201211,5185,-1043
201212,5155,-1072
201301,5462,-771
201302,5543,-689
201303,5584,-648
201304,5719,-510
201305,5780,-448
201306,5779,-449
201307,5779,-449
201308,5779,-449
201309,5816,-410
201310,5964,-261
201311,6099,-129
201312,6246,19
201401,5935,-298
201402,5700,-532
201403,5712,-520
201404,5682,-547
201405,5710,-518
201406,5725,-503
201407,5725,-503
201408,5731,-497
201409,5679,-547
201410,5485,-740
201411,5471,-757
201412,5213,-1014
201501,5257,-976
201502,5230,-1002
201503,5150,-1082
201504,5150,-1079
201505,5202,-1026
201506,5192,-1036
201507,5192,-1036
201508,5186,-1042
201509,5180,-1046
201510,5168,-1057
201511,5254,-974
201512,5443,-784
201601,5551,-682
201602,5699,-533
201603,5733,-499
201604,5719,-510
201605,5693,-535
201606,5686,-542
201607,5686,-542
201608,5686,-542
201609,5747,-479
201610,5763,-462
201611,5578,-650
201612,5506,-721
201701,5459,-774
201702,5305,-927
201703,5206,-1026
201704,5217,-1012
201705,5180,-1048
201706,5182,-1046
201707,5182,-1046
201708,5182,-1046
201709,5181,-1045
201710,5311,-914
201711,5238,-990
201712,5105,-1122
201801,4964,-1269
201802,5097,-1135
201803,5288,-944
201804,5207,-1022
201805,5139,-1089
201806,5140,-1088
201807,5140,-1088
201808,5140,-1088
201809,5073,-1153
201810,5125,-1100
201811,5380,-848
201812,5553,-674
201901,5733,-500
201902,5929,-303
201903,5951,-281
201904,5949,-280
201905,6188,-40
201906,6234,6
201907,6234,6
201908,6234,6
201909,6250,24
201910,6334,109
201911,6224,-4
201912,6192,-35
202001,6246,13
202002,6125,-107
202003,6062,-170
202004,6110,-119
202005,5846,-382
202006,5819,-409
202007,5819,-409
202008,5819,-409
202009,5842,-384
202010,5567,-658
202011,5565,-663
202012,5614,-613
202101,5560,-673
202102,5507,-725
202103,5603,-629
202104,5609,-620
202105,5661,-567
202106,5639,-589
202107,5639,-589
202108,5639,-589
202109,5621,-605
202110,5822,-403
202111,5728,-500
202112,5561,-666
202201,5514,-719
202202,5606,-626
202203,5560,-672
202204,5566,-663
202205,5594,-634
202206,5605,-623
202207,5605,-623
202208,5605,-623
202209,5581,-645
202210,5463,-762
202211,5727,-501
202212,5809,-418
202301,5829,-404
202302,5910,-322
202303,6107,-125
202304,6192,-37
202305,6153,-75
202306,6202,-26
202307,6202,-26
202308,6202,-26
202309,6240,14
202310,6207,-18
202311,6026,-202
202312,5912,-315
202401,5802,-431
202402,5561,-671
202403,5341,-891
